kind,hospitalName,hospitalCity,hospitalRating,hospitalAddress,hospitalPhone,hospitalWebsite,hospitalPlaceId,hospitalLat,hospitalLng,hospitalMapsUri,id,name,rating,date,total_reviews,text,link,profile,country,region,flags,tokens,lang
hospital,Manipal Hospitals,Bengaluru,4.6,"98, HAL Old Airport Rd, Kodihalli, Bengaluru, Karnataka 560017, India",1800 102 4647,https://www.manipalhospitals.com/oldairportroad/?utm_source=Organic&utm_medium=GMB+Organic&utm_campaign=Old+Airport+Road+Hospital+GMB,ChIJayDGwMATrjsR3ceXkcPU2BI,12.958457099999999,77.649039,https://maps.google.com/?cid=1358069224078559197&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,,,,,,,,,,,,
review,Manipal Hospitals,Bengaluru,,,,,,,,,Ci9DQUlRQUNvZENodHljRjlvT200eGVHNVBZWHBXYTJvM1JXSm1OMnRhTTA1b1MzYxAB,Mom Trade Center,5,4 weeks ago,1,"Hospital service are very nice , staffs are also cooperative , especially Prasenjit and Monami helped us a lot for our medical journey. But for Bangladeshi like us it's a bit expensive in terms of the treatment charges. If it's a little lesser than the present then it would be really helpful for us. Overall experience was excellent.",,https://www.google.com/maps/contrib/108410530479027835983/reviews?hl=en,Bangladesh,south_asia,[],"[""Bangladesh""]",en
review,Manipal Hospitals,Bengaluru,,,,,,,,,Ci9DQUlRQUNvZENodHljRjlvT21sSVVsSkVjWHA2YzFKM1ZIZDJiRkZTWTFnMlZrRRAB,Girma Solomon,5,5 months ago,1,"We were at Manipal for a long period as international patients, and I want to specifically mention Lahari from the MIPC (International Patient Relations) team.
From the beginning, Lahari became our main point of contact and the person we … More",,https://www.google.com/maps/contrib/100033253611237389639/reviews?hl=en,international patient,phrase_signal,[],"[""international patient""]",en
review,Manipal Hospitals,Bengaluru,,,,,,,,,Ci9DQUlRQUNvZENodHljRjlvT2xsT2JsRmFPREJWYWt4RFptcHZlazFqTnpOVlRGRRAB,Hussain Irufan,5,2 months ago,1,"Had a great experience at Manipal Hospital Bangalore.Old Airport Road. Special thanks to Shadhiya E at the International Patient Desk she is always helpful, kind, and professional. Her warm smile brings real comfort, and she supports patients with genuine care as if it’s her own responsibility. Truly appreciated! ♥️",,https://www.google.com/maps/contrib/102238119215170987682/reviews?hl=en,international patient,phrase_signal,[],"[""international patient""]",en
review,Manipal Hospitals,Bengaluru,,,,,,,,,Ci9DQUlRQUNvZENodHljRjlvT2taV2JUSkthR2QxTFRCd1pYbHJjRFJsTjJZMVoyYxAB,Nazmul Hasan Emon,4,11 months ago,1,"I am an international patient from Bangladesh who came to Manipal Hospital for my mother’s treatment. From the very beginning, I was impressed with the top-notch services here. The doctors, nurses, and support staff were all highly … More",,https://www.google.com/maps/contrib/106300485357687186145/reviews?hl=en,Bangladesh,south_asia,[],"[""Bangladesh"", ""international patient""]",en
